Comment,Designator,Footprint,LCSC, LCSC
"220uF","C1,C2,C3,C4","Capacitor_SMD:CP_Elec_6.3x7.7","","C127327"
"WS2812B","D2,D1,D4,D3,D6,D5,D9,D10,D7,D8,D12,D11,D14,D13,D16,D15,D19,D20,D17,D18,D22,D21,D24,D23,D26,D25,D29,D30,D27,D28,D32,D31,D34,D33,D36,D35,D39,D40,D37,D38,D42,D41,D44,D43,D46,D45,D49,D50,D47,D48,D52,D51,D54,D53,D56,D55,D59,D60,D57,D58,D62,D61,D64,D63,D66,D65,D69,D70,D67,D68,D72,D71,D74,D73,D76,D75,D79,D80,D77,D78,D82,D81,D84,D83,D86,D85,D89,D90,D87,D88,D92,D91,D94,D93,D96,D95,D99,D100,D97,D98,D102,D101,D104,D103,D106,D105,D109,D110,D107,D108,D112,D111,D114,D113,D116,D115,D119,D120,D117,D118,D122,D121","foxie_clock_nano:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","","C114586"
"470","R1","Resistor_SMD:R_1206_3216Metric","","C25383"
"BTN_Hour","SW1","Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx58-2LFS",""
"BTN_Minute","SW2","Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx58-2LFS",""
"BTN_Color","SW3","Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx58-2LFS",""
"BTN_Brightness","SW4","Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx58-2LFS",""
"SN74AHCT125N","U1","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","","C36365"
"Artemis-Nano","U2","foxie_clock_nano:Artemis-Nano",""
